order_id,order_date,product_id,product_name,brand,category,selling_price,discount_pct,gmv,size,units_sold
ORD100020,19-05-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,724,0,724,L,3
ORD100021,19-05-2026,36731315,Sweetheart Neck Cotton Crop Top,Burgstudio9,Crop Top,424,60,424,L,1
ORD100022,20-05-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,666,68,666,XL,2
ORD100023,09-06-2026,33822490,Checked Cotton Top,Roadster,Casual Top,581,69,581,S,1
ORD100024,24-05-2026,32548904,Tie-Up Fitted Crop Top,glitchez,Crop Top,300,60,300,M,2
ORD100025,20-05-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,424,67,424,L,1
ORD100026,20-05-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,733,0,733,M,1
ORD100027,24-05-2026,33822490,Checked Cotton Top,Roadster,Casual Top,541,69,541,XXL,3
ORD100028,28-05-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,457,67,457,L,1
ORD100029,16-05-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,368,55,368,L,1
ORD100030,31-05-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,666,68,666,M,1
ORD100031,28-05-2026,32548904,Tie-Up Fitted Crop Top,glitchez,Crop Top,265,60,265,M,2
ORD100032,02-06-2026,36731315,Sweetheart Neck Cotton Crop Top,Burgstudio9,Crop Top,416,60,416,L,3
ORD100033,05-06-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,666,0,666,M,1
ORD100034,21-05-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,354,55,354,M,1
ORD100035,28-05-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,392,66,392,M,2
ORD100036,08-06-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,367,55,367,L,3
ORD100037,31-05-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,656,0,656,M,1
ORD100038,29-05-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,499,67,499,XL,3
ORD100039,31-05-2026,36731315,Sweetheart Neck Cotton Crop Top,Burgstudio9,Crop Top,384,60,384,XS,1
ORD100040,09-06-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,732,69,732,L,1
ORD100041,13-05-2026,27373772,Crepe Shirt Style Top,DL Woman,Shirt Style Top,503,81,503,M,3
ORD100042,14-05-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,375,55,375,L,1
ORD100043,05-06-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,646,0,646,M,1
ORD100044,17-05-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,666,0,666,L,2
ORD100045,18-05-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,792,68,792,L,1
ORD100046,03-06-2026,27373772,Crepe Shirt Style Top,DL Woman,Shirt Style Top,511,81,511,XXL,2
ORD100047,26-05-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,721,69,721,M,2
ORD100048,19-05-2026,27373772,Crepe Shirt Style Top,DL Woman,Shirt Style Top,484,81,484,XS,1
ORD100049,19-05-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,711,0,711,XS,2
ORD100050,19-05-2026,36731315,Sweetheart Neck Cotton Crop Top,Burgstudio9,Crop Top,364,60,364,S,3
ORD100051,14-05-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,669,69,669,S,3
ORD100052,18-05-2026,32548904,Tie-Up Fitted Crop Top,glitchez,Crop Top,281,60,281,L,2
ORD100053,30-05-2026,33822490,Checked Cotton Top,Roadster,Casual Top,553,69,553,L,3
ORD100054,18-05-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,670,68,670,M,3
ORD100055,25-05-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,656,69,656,L,2
ORD100056,02-06-2026,36731315,Sweetheart Neck Cotton Crop Top,Burgstudio9,Crop Top,411,60,411,M,3
ORD100057,24-05-2026,36731315,Sweetheart Neck Cotton Crop Top,Burgstudio9,Crop Top,417,60,417,L,2
ORD100058,19-05-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,336,55,336,M,3
ORD100059,25-05-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,429,67,429,M,1
ORD100060,26-05-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,381,55,381,L,1
ORD100061,13-05-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,369,55,369,M,3
ORD100062,14-05-2026,36731315,Sweetheart Neck Cotton Crop Top,Burgstudio9,Crop Top,433,60,433,L,2
ORD100063,25-05-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,456,67,456,S,1
ORD100064,09-06-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,665,68,665,M,1
ORD100065,20-05-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,792,68,792,L,1
ORD100066,25-05-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,387,66,387,L,2
ORD100067,02-06-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,729,0,729,S,1
ORD100068,18-05-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,407,66,407,M,3
ORD100069,13-05-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,733,0,733,S,3
ORD100070,27-05-2026,33822490,Checked Cotton Top,Roadster,Casual Top,557,69,557,L,1
ORD100071,13-05-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,500,67,500,S,2
ORD100072,14-05-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,466,67,466,L,2
ORD100073,24-05-2026,27373772,Crepe Shirt Style Top,DL Woman,Shirt Style Top,490,81,490,XL,2
ORD100074,30-05-2026,27373772,Crepe Shirt Style Top,DL Woman,Shirt Style Top,541,81,541,M,3
ORD100075,02-06-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,742,68,742,M,3
ORD100076,18-05-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,385,66,385,M,2
ORD100077,24-05-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,345,66,345,M,3
ORD100078,22-05-2026,32548904,Tie-Up Fitted Crop Top,glitchez,Crop Top,302,60,302,XL,2
ORD100079,26-05-2026,36731315,Sweetheart Neck Cotton Crop Top,Burgstudio9,Crop Top,408,60,408,M,3
ORD100080,14-05-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,361,55,361,M,1
ORD100081,10-06-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,444,67,444,S,1
ORD100082,23-05-2026,27373772,Crepe Shirt Style Top,DL Woman,Shirt Style Top,508,81,508,M,1
ORD100083,03-06-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,671,0,671,XXL,2
ORD100084,12-05-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,722,0,722,M,3
ORD100085,09-06-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,332,55,332,S,2
ORD100086,04-06-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,362,55,362,S,3
ORD100087,18-05-2026,33822490,Checked Cotton Top,Roadster,Casual Top,581,69,581,S,1
ORD100088,28-05-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,372,66,372,XL,2
ORD100089,14-05-2026,36731315,Sweetheart Neck Cotton Crop Top,Burgstudio9,Crop Top,409,60,409,L,1
ORD100090,12-05-2026,36731315,Sweetheart Neck Cotton Crop Top,Burgstudio9,Crop Top,385,60,385,S,3
ORD100091,17-05-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,390,66,390,M,1
ORD100092,29-05-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,658,68,658,S,1
ORD100093,29-05-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,415,67,415,M,2
ORD100094,16-05-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,689,0,689,S,3
ORD100095,09-06-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,725,69,725,XXL,3
ORD100096,09-06-2026,36731315,Sweetheart Neck Cotton Crop Top,Burgstudio9,Crop Top,387,60,387,L,3
ORD100097,23-05-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,379,55,379,XL,1
ORD100098,31-05-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,766,68,766,XL,1
ORD100099,08-06-2026,27373772,Crepe Shirt Style Top,DL Woman,Shirt Style Top,495,81,495,L,2
ORD100100,09-06-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,449,67,449,S,3
ORD100101,06-06-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,725,69,725,L,2
ORD100102,20-05-2026,27373772,Crepe Shirt Style Top,DL Woman,Shirt Style Top,494,81,494,L,1
ORD100103,08-06-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,662,68,662,M,3
ORD100104,07-06-2026,27373772,Crepe Shirt Style Top,DL Woman,Shirt Style Top,575,81,575,M,2
ORD100105,19-05-2026,27373772,Crepe Shirt Style Top,DL Woman,Shirt Style Top,480,81,480,S,1
ORD100106,20-05-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,716,69,716,XL,2
ORD100107,23-05-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,383,66,383,M,1
ORD100108,22-05-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,760,0,760,S,2
ORD100109,17-05-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,379,66,379,XXL,2
ORD100110,15-05-2026,36731315,Sweetheart Neck Cotton Crop Top,Burgstudio9,Crop Top,406,60,406,M,3
ORD100111,25-05-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,682,69,682,M,2
ORD100112,09-06-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,741,68,741,S,1
ORD100113,12-05-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,732,68,732,L,3
ORD100114,23-05-2026,27373772,Crepe Shirt Style Top,DL Woman,Shirt Style Top,523,81,523,XL,3
ORD100115,31-05-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,643,69,643,L,1
ORD100116,28-05-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,358,66,358,M,3
ORD100117,03-06-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,700,68,700,S,2
ORD100118,02-06-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,794,68,794,L,2
ORD100119,31-05-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,464,67,464,M,1
ORD100120,21-05-2026,36731315,Sweetheart Neck Cotton Crop Top,Burgstudio9,Crop Top,381,60,381,M,1
ORD100121,31-05-2026,33822490,Checked Cotton Top,Roadster,Casual Top,574,69,574,M,2
ORD100122,02-06-2026,32548904,Tie-Up Fitted Crop Top,glitchez,Crop Top,263,60,263,M,2
ORD100123,02-06-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,419,67,419,M,3
ORD100124,22-05-2026,33822490,Checked Cotton Top,Roadster,Casual Top,511,69,511,XL,1
ORD100125,02-06-2026,27373772,Crepe Shirt Style Top,DL Woman,Shirt Style Top,510,81,510,L,3
ORD100126,12-05-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,416,67,416,XXL,3
ORD100127,08-06-2026,33822490,Checked Cotton Top,Roadster,Casual Top,586,69,586,M,1
ORD100128,18-05-2026,33822490,Checked Cotton Top,Roadster,Casual Top,581,69,581,M,1
ORD100129,19-05-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,678,68,678,L,2
ORD100130,05-06-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,353,55,353,S,1
ORD100131,26-05-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,636,0,636,S,3
ORD100132,26-05-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,332,55,332,M,3
ORD100133,29-05-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,712,0,712,XL,1
ORD100134,31-05-2026,32548904,Tie-Up Fitted Crop Top,glitchez,Crop Top,296,60,296,XL,2
ORD100135,07-06-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,789,68,789,M,3
ORD100136,04-06-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,491,67,491,M,3
ORD100137,07-06-2026,27373772,Crepe Shirt Style Top,DL Woman,Shirt Style Top,545,81,545,L,1
ORD100138,27-05-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,716,0,716,S,3
ORD100139,03-06-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,343,55,343,S,3
ORD100140,09-06-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,673,69,673,S,1
ORD100141,24-05-2026,27373772,Crepe Shirt Style Top,DL Woman,Shirt Style Top,551,81,551,L,2
ORD100142,25-05-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,352,55,352,M,1
ORD100143,13-05-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,687,68,687,M,1
ORD100144,03-06-2026,33822490,Checked Cotton Top,Roadster,Casual Top,503,69,503,XL,3
ORD100145,24-05-2026,33822490,Checked Cotton Top,Roadster,Casual Top,554,69,554,XL,2
ORD100146,05-06-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,364,66,364,XL,2
ORD100147,29-05-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,766,68,766,M,1
ORD100148,09-06-2026,33822490,Checked Cotton Top,Roadster,Casual Top,525,69,525,S,3
ORD100149,27-05-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,661,68,661,M,2
ORD100150,04-06-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,681,68,681,M,2
ORD100151,31-05-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,461,67,461,XL,2
ORD100152,30-05-2026,33822490,Checked Cotton Top,Roadster,Casual Top,575,69,575,S,3
ORD100153,16-05-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,783,68,783,S,2
ORD100154,24-05-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,360,66,360,M,1
ORD100155,05-06-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,718,69,718,S,3
ORD100156,20-05-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,778,68,778,M,2
ORD100157,13-05-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,768,0,768,M,3
ORD100158,05-06-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,391,55,391,S,3
ORD100159,19-05-2026,36731315,Sweetheart Neck Cotton Crop Top,Burgstudio9,Crop Top,375,60,375,XS,3
ORD100160,19-05-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,423,67,423,L,3
ORD100161,18-05-2026,33822490,Checked Cotton Top,Roadster,Casual Top,553,69,553,S,1
ORD100162,17-05-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,682,69,682,XL,1
ORD100163,05-06-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,381,55,381,XL,2
ORD100164,30-05-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,324,55,324,M,2
ORD100165,24-05-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,794,68,794,S,2
ORD100166,03-06-2026,33822490,Checked Cotton Top,Roadster,Casual Top,593,69,593,S,2
ORD100167,08-06-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,386,66,386,L,3
ORD100168,06-06-2026,33822490,Checked Cotton Top,Roadster,Casual Top,505,69,505,M,1
ORD100169,14-05-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,668,69,668,M,3
ORD100170,07-06-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,728,68,728,M,3
ORD100171,01-06-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,720,69,720,M,2
ORD100172,25-05-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,428,67,428,M,3
ORD100173,31-05-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,395,66,395,M,1
ORD100174,26-05-2026,32548904,Tie-Up Fitted Crop Top,glitchez,Crop Top,275,60,275,L,2
ORD100175,22-05-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,399,66,399,L,2
ORD100176,20-05-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,386,55,386,S,2
ORD100177,30-05-2026,32548904,Tie-Up Fitted Crop Top,glitchez,Crop Top,285,60,285,M,1
ORD100178,27-05-2026,36731315,Sweetheart Neck Cotton Crop Top,Burgstudio9,Crop Top,427,60,427,S,3
ORD100179,23-05-2026,27373772,Crepe Shirt Style Top,DL Woman,Shirt Style Top,562,81,562,M,1
ORD100180,03-06-2026,33822490,Checked Cotton Top,Roadster,Casual Top,599,69,599,M,3
ORD100181,18-05-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,641,0,641,L,2
ORD100182,29-05-2026,32548904,Tie-Up Fitted Crop Top,glitchez,Crop Top,293,60,293,L,3
ORD100183,26-05-2026,32548904,Tie-Up Fitted Crop Top,glitchez,Crop Top,295,60,295,S,3
ORD100184,24-05-2026,27373772,Crepe Shirt Style Top,DL Woman,Shirt Style Top,551,81,551,S,1
ORD100185,23-05-2026,33822490,Checked Cotton Top,Roadster,Casual Top,554,69,554,M,1
ORD100186,04-06-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,737,68,737,M,1
ORD100187,20-05-2026,32548904,Tie-Up Fitted Crop Top,glitchez,Crop Top,268,60,268,S,1
ORD100188,22-05-2026,27373772,Crepe Shirt Style Top,DL Woman,Shirt Style Top,490,81,490,M,3
ORD100189,18-05-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,432,67,432,M,3
ORD100190,05-06-2026,33822490,Checked Cotton Top,Roadster,Casual Top,559,69,559,S,3
ORD100191,07-06-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,337,55,337,S,2
ORD100192,21-05-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,413,67,413,M,1
ORD100193,13-05-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,408,66,408,M,3
ORD100194,01-06-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,491,67,491,M,3
ORD100195,30-05-2026,36731315,Sweetheart Neck Cotton Crop Top,Burgstudio9,Crop Top,381,60,381,M,1
ORD100196,17-05-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,730,69,730,S,1
ORD100197,15-05-2026,32548904,Tie-Up Fitted Crop Top,glitchez,Crop Top,296,60,296,M,3
ORD100198,30-05-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,368,55,368,S,3
ORD100199,06-06-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,463,67,463,S,2
ORD100200,15-05-2026,27373772,Crepe Shirt Style Top,DL Woman,Shirt Style Top,537,81,537,M,2
ORD100201,06-06-2026,33822490,Checked Cotton Top,Roadster,Casual Top,570,69,570,L,2
ORD100202,26-05-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,789,68,789,S,3
ORD100203,25-05-2026,33822490,Checked Cotton Top,Roadster,Casual Top,535,69,535,M,2
ORD100204,04-06-2026,33822490,Checked Cotton Top,Roadster,Casual Top,512,69,512,L,2
ORD100205,20-05-2026,27373772,Crepe Shirt Style Top,DL Woman,Shirt Style Top,548,81,548,S,1
ORD100206,29-05-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,419,67,419,XS,2
ORD100207,03-06-2026,32548904,Tie-Up Fitted Crop Top,glitchez,Crop Top,284,60,284,S,1
ORD100208,21-05-2026,27373772,Crepe Shirt Style Top,DL Woman,Shirt Style Top,552,81,552,L,2
ORD100209,14-05-2026,32548904,Tie-Up Fitted Crop Top,glitchez,Crop Top,289,60,289,XL,3
ORD100210,02-06-2026,33822490,Checked Cotton Top,Roadster,Casual Top,590,69,590,S,2
ORD100211,29-05-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,339,55,339,S,3
ORD100212,07-06-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,346,66,346,S,3
ORD100213,31-05-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,391,66,391,M,3
ORD100214,26-05-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,344,66,344,L,2
ORD100215,20-05-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,730,68,730,M,1
ORD100216,31-05-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,325,55,325,M,2
ORD100217,31-05-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,634,69,634,S,2
ORD100218,30-05-2026,33822490,Checked Cotton Top,Roadster,Casual Top,607,69,607,XXL,2
ORD100219,30-05-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,338,66,338,L,1
ORD100220,28-05-2026,32548904,Tie-Up Fitted Crop Top,glitchez,Crop Top,287,60,287,XL,3
ORD100221,30-05-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,452,67,452,L,1
ORD100222,27-05-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,348,55,348,M,1
ORD100223,08-06-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,334,55,334,M,1
ORD100224,21-05-2026,32548904,Tie-Up Fitted Crop Top,glitchez,Crop Top,288,60,288,M,1
ORD100225,13-05-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,692,0,692,M,3
ORD100226,15-05-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,730,69,730,M,2
ORD100227,07-06-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,767,0,767,M,2
ORD100228,26-05-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,686,0,686,S,1
ORD100229,31-05-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,702,69,702,M,2
ORD100230,18-05-2026,36731315,Sweetheart Neck Cotton Crop Top,Burgstudio9,Crop Top,380,60,380,S,2
ORD100231,26-05-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,401,66,401,M,1
ORD100232,01-06-2026,36731315,Sweetheart Neck Cotton Crop Top,Burgstudio9,Crop Top,407,60,407,S,2
ORD100233,21-05-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,462,67,462,M,1
ORD100234,19-05-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,394,55,394,XL,1
ORD100235,15-05-2026,32548904,Tie-Up Fitted Crop Top,glitchez,Crop Top,287,60,287,S,3
ORD100236,28-05-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,388,66,388,M,1
ORD100237,27-05-2026,32548904,Tie-Up Fitted Crop Top,glitchez,Crop Top,264,60,264,M,2
ORD100238,18-05-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,791,68,791,M,2
ORD100239,08-06-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,418,67,418,L,1
ORD100240,22-05-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,793,68,793,M,1
ORD100241,21-05-2026,36731315,Sweetheart Neck Cotton Crop Top,Burgstudio9,Crop Top,417,60,417,L,2
ORD100242,02-06-2026,33822490,Checked Cotton Top,Roadster,Casual Top,555,69,555,S,2
ORD100243,27-05-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,677,0,677,M,2
ORD100244,24-05-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,692,0,692,M,1
ORD100245,03-06-2026,27373772,Crepe Shirt Style Top,DL Woman,Shirt Style Top,503,81,503,M,2
ORD100246,13-05-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,703,68,703,M,2
ORD100247,24-05-2026,37531587,Ethnic Cotton Top,KALAMIR,Ethnic Top,801,68,801,L,1
ORD100248,27-05-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,500,67,500,S,3
ORD100249,22-05-2026,33822490,Checked Cotton Top,Roadster,Casual Top,598,69,598,L,2
ORD100250,15-05-2026,32548904,Tie-Up Fitted Crop Top,glitchez,Crop Top,280,60,280,M,2
ORD100251,25-05-2026,36808299,Women Peplum Top,ZYNG,Peplum Top,491,67,491,XL,3
ORD100252,27-05-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,379,55,379,S,3
ORD100253,03-06-2026,33822490,Checked Cotton Top,Roadster,Casual Top,545,69,545,S,1
ORD100254,08-06-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,691,69,691,M,2
ORD100255,01-06-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,697,69,697,L,1
ORD100256,13-05-2026,41893855,Cotton Halterneck Top,H&M,Halter Top,715,0,715,S,1
ORD100257,19-05-2026,36147207,V-Neck Wrap Draped Top,SZN,Wrap Top,391,66,391,M,2
ORD100258,05-06-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,368,55,368,L,3
ORD100259,17-05-2026,32548904,Tie-Up Fitted Crop Top,glitchez,Crop Top,289,60,289,XL,1
ORD100260,22-05-2026,36731315,Sweetheart Neck Cotton Crop Top,Burgstudio9,Crop Top,422,60,422,S,1
ORD100261,25-05-2026,32713027,Floral Printed Empire Top,QUIERO,Floral Top,620,69,620,M,3
ORD100262,02-06-2026,33822490,Checked Cotton Top,Roadster,Casual Top,589,69,589,S,2
ORD100263,31-05-2026,41420655,Ribbed Cotton Vest Top,H&M,Sleeveless Top,385,55,385,M,2
